"nome","resumo","coordenador"
"AVALIAÇÃO DE SUSTENTABILIDADE DE PRODUÇÃO DE BIOCOMBUSTÍVEIS A PARTIR DA BIOMASSA DE ALGAS","Em breve este conteúdo estará disponível.","Alena Torres Netto "
"MONITORIA DE QUÍMICA AMBIENTAL E SANITÁRIA I (FEN07-12776)","Em breve este conteúdo estará disponível.","André Luís De Sá Salomão "
"ECOSSISTEMA ENGENHEIRADO NO TRATAMENTO DESCENTRALIZADO DE ESGOTO DOMÉSTICOS EM REGIÕES INSULARES","Em breve este conteúdo estará disponível.","André Luís De Sá Salomão "
"SOLUÇÕES BASEADAS NA NATUREZA PARA MITIGAÇÃO DE INUNDAÇÕES E INCREMENTO DA RESILIÊNCIA URBANA","Em breve este conteúdo estará disponível.","Bruna Peres Battemarco "
"AVALIAÇÃO DO EFEITO DE MISTURAS DE CONTAMINANTES EMERGENTES COM BIOENSAIOS IN VITRO E IN VIVO","Em breve este conteúdo estará disponível.","Daniele Maia Bila "
"MONITORIA QUÍMICA AMBIENTAL E SANITÁRIA I","Em breve este conteúdo estará disponível.","Glaucio Gualtieri Honorio "
"PRODUÇÃO DE ENERGIA RENOVÁVEL A PARTIR DE MICROALGAS DO GÊNERO RAPHIDOCELLIS","Em breve este conteúdo estará disponível.","Glaucio Gualtieri Honorio "
"APROVEITAMENTO DO ESGOTO E LODO DE ESGOTO NA GERAÇÃO DE ENERGIA RENOVÁVEL","Em breve este conteúdo estará disponível.","Glaucio Gualtieri Honorio "
"TRANSGÊNICOS – A IMPORTÂNCIA DOS CONCEITOS NA GARANTIA DA SEGURANÇA ALIMENTAR E AMBIENTAL.","Em breve este conteúdo estará disponível.","Lia Cardoso Rocha Saraiva Teixeira "
"GERENCIAMENTO DE RESÍDUOS DO HUPE E DA UDA ANATOMIA PATOLÓGICA","Em breve este conteúdo estará disponível.","Lívia Maria Da Costa Silva "
"SERVIÇOS ECOSSISTÊMICOS PROVIDOS POR SOLUÇÕES BASEADAS NA NATUREZA NO ÂMBITO DA DRENAGEM SUSTENTÁVEL","Em breve este conteúdo estará disponível.","Luciana Fernandes Guimaraes "
"APERFEIÇOAMENTO DA GESTÃO DE RECURSOS HÍDRICOS E AUMENTO DA EFICIÊNCIA DOS SISTEMAS DE SANEAMENTO","Em breve este conteúdo estará disponível.","Marcelo Obraczka "
"REUSO DE CONDENSADO PARA FINS NAO POTAVEIS NO CAMPUS MARACANÃ","Em breve este conteúdo estará disponível.","Marcelo Obraczka "
"CORRENTES DE CONCENTRADO DO TRATAMENTO DE LIXIVIADO DE ATERRO SANITÁRIO: AVALIAÇÃO DO CICLO DE VIDA","Em breve este conteúdo estará disponível.","Ronei De Almeida "
"ÁGUAS DE MESQUITA","Em breve este conteúdo estará disponível.","Rosane Cristina De Andrade "
